file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-605619.cif,Ni3 Ag3 Te6,12,-0.1425752612499996,['Ni'],['Te'],"[0, 1, 2]",perovskite
ICSD-609250.cif,Al12 S18,30,-1.189612306,['Al'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-414041.cif,Ru4 Cl12,16,-0.7159079759375002,['Ru'],['Cl'],"[0, 1, 2, 3]",perovskite
ICSD-616097.cif,Ba2 V2 S6,10,-1.5624317169999995,['V'],['S'],"[2, 3]",perovskite
ICSD-651015.cif,S4 Sn4,8,-0.5414801406250005,['Sn'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-262090.cif,Pb Ti O3,5,-2.3118241788333336,['Ti'],['O'],[0],perovskite
ICSD-254445.cif,Sc4 Ca4 B4 O16,28,-3.126702136428572,['Sc'],['O'],"[4, 5, 6, 7]",perovskite
ICSD-262061.cif,Zr4 W8 O32,44,-2.536150374772727,['Zr'],['O'],"[0, 1, 2, 3]",perovskite
ICSD-257144.cif,Sn12 K8 O28,48,-1.6959888388541664,['Sn'],['O'],"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",perovskite
ICSD-409808.cif,Cs8 Mo4 Cl24,36,-1.4103795844444444,['Mo'],['Cl'],"[8, 9, 10, 11]",perovskite
ICSD-417289.cif,Na12 F4 W4 O16,36,-2.285353160416667,['F'],['Na'],"[32, 33, 34, 35]",anti-perovskite
ICSD-427679.cif,Tl20 Br4 Te8,32,-0.4450618351041665,['Tl'],"['Br', 'Te']","[0, 1, 2, 3]",perovskite
ICSD-620305.cif,S8 Cd4,12,-0.5088257200000003,['Cd'],['S'],"[0, 1, 2, 3]",perovskite
ICSD-410783.cif,Sr10 P6 O24 S,41,-2.906159104599304,['S'],['Sr'],[16],anti-perovskite
ICSD-253272.cif,Sr6 Fe4 Te2 O18,30,-2.0457126711111107,"['Te', 'Fe']",['O'],"[6, 8, 10, 11]",perovskite
ICSD-424701.cif,Cs6 Ag2 Mn8 O32,48,-1.459404922640087,['Ag'],['O'],"[14, 15]",perovskite
ICSD-616124.cif,Ba4 Se4,8,-2.0483461170833333,['Ba'],['Se'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-638863.cif,Sr4 Hf4 S12,20,-2.0172213080000003,['Hf'],['S'],"[4, 5, 6, 7]",perovskite
ICSD-434755.cif,Li12 P6 S18,36,-1.0253263732936508,['Li'],['S'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-710063.cif,K8 Cd12 Se16,36,-0.8475121357407408,['K'],['Se'],"[0, 1, 2, 3]",perovskite
ICSD-620523.cif,Cd4 Te4,8,-0.2748003108333332,['Cd'],['Te'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-426706.cif,In12 Na4 S20,36,-0.8383352600000001,['In'],['S'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-402399.cif,Li8 Zn4 Cl16,28,-1.5318456898809525,['Li'],['Cl'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
ICSD-410590.cif,Cs10 Nb4 Br18 S8,40,-1.4258415153749997,['Cs'],['Br'],"[8, 9, 38, 39]",perovskite
ICSD-258733.cif,Ba6 Ti4 Mn2 O18,30,-2.7642240411532573,['Mn'],['O'],"[10, 11]",perovskite
ICSD-281247.cif,Ba6 Li2 Os4 O18,30,-1.944027045555556,"['Li', 'Os']",['O'],"[6, 7, 8, 9, 10, 11]",perovskite
ICSD-628782.cif,Cu2 S4,6,-0.2952009341666664,['Cu'],['S'],"[0, 1]",perovskite
ICSD-633869.cif,Te8 Fe4,12,-0.5437214877777775,['Fe'],['Te'],"[0, 1, 2, 3]",perovskite
ICSD-259109.cif,Na2 Nb2 O6,10,-2.5904006820000007,['Nb'],['O'],"[2, 3]",perovskite
ICSD-653072.cif,Ti2 Te2,4,-0.612556749166667,['Ti'],['Te'],"[0, 1]",perovskite
ICSD-416325.cif,Sr4 Sc8 Te16,28,-1.390823458095238,['Sc'],['Te'],"[4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-430537.cif,Y2 K6 Si4 O14,26,-2.7262550188461536,['Y'],['O'],"[6, 7]",perovskite
ICSD-281039.cif,Sn As2 S6 K2,11,-0.7550017003409092,['Sn'],['S'],[2],perovskite
ICSD-281440.cif,Hg4 Cs4 Y4 Se12,24,-1.2500806666666666,['Y'],['Se'],"[4, 5, 6, 7]",perovskite
ICSD-264199.cif,Bi12 Te6 Br6,24,-0.3590499620833333,['Bi'],"['Br', 'Te']","[0, 1, 2, 3, 4, 5]",perovskite
ICSD-253817.cif,Ba6 Zn2 Ir4 O18,30,-1.7239691820000005,"['Zn', 'Ir']",['O'],"[6, 7, 8, 9, 10, 11]",perovskite
ICSD-262626.cif,Co4 Sb8 O16,28,-1.4187660225,['Co'],['O'],"[0, 1, 2, 3]",perovskite
ICSD-261341.cif,Ca4 Tc4 O12,20,-2.104346054500001,['Tc'],['O'],"[4, 5, 6, 7]",perovskite
ICSD-261909.cif,Co8 As4 O20 H4,36,-1.333798308055556,['Co'],['O'],"[0, 1, 2, 3]",perovskite
